cycle_index,n_batteries,value_mean,value_median,value_std,value_lower_quantile,value_upper_quantile,value,aggregation_method,source_value_column
712.0,14,6.074889308270301,6.0851453219228855,0.34588707636890775,5.80636932655065,6.169857445918731,6.0851453219228855,median,C/D
713.0,14,6.088138642742576,6.093856187802597,0.35319149731048466,5.8066337486895065,6.182247870505791,6.093856187802597,median,C/D
714.0,14,6.088477801529757,6.107105068957363,0.34998057400766136,5.809362616671953,6.178364995169742,6.107105068957363,median,C/D
715.0,13,6.060779275868688,6.1174979001251995,0.30867402499078245,5.846625462483876,6.174626168224299,6.1174979001251995,median,C/D
716.0,13,6.407909686495125,6.3630405268332275,0.42787169764293276,6.135161163235229,6.5761034948229184,6.3630405268332275,median,C/D
717.0,14,6.589899183011504,6.2752924451246,1.2335499170498618,5.987346444830518,6.542303968137944,6.2752924451246,median,C/D
718.0,14,6.168702668732627,6.152013778439324,0.43333965763975213,5.837029152600218,6.253277645286911,6.152013778439324,median,C/D
719.0,14,6.172470902358916,6.15902629222992,0.43483095315764675,5.832797723558,6.239359794937554,6.15902629222992,median,C/D
720.0,14,6.1596954810188596,6.153798235280927,0.419258162611082,5.821367184204201,6.261167842989893,6.153798235280927,median,C/D
721.0,14,6.168454537721462,6.172792329084414,0.37429889185358256,5.861514055410195,6.244643805000402,6.172792329084414,median,C/D
722.0,14,6.158300976266797,6.1403958719183676,0.3579584583014098,5.880251879337741,6.2756610457312405,6.1403958719183676,median,C/D
723.0,12,6.123721347356263,6.087539605244844,0.36100701001271107,5.858434081167374,6.245174542606922,6.087539605244844,median,C/D
724.0,14,6.155831983485872,6.179836598991455,0.35806709896797584,5.860571482636649,6.30020148528348,6.179836598991455,median,C/D
725.0,14,6.153622354629941,6.202826039482879,0.3456935090945688,5.86779309893986,6.2602665653674965,6.202826039482879,median,C/D
726.0,14,6.1569888922974485,6.190539973040233,0.3485488606939586,5.866139543551088,6.280042593367965,6.190539973040233,median,C/D
727.0,14,6.162919420748869,6.198094576719576,0.357225662696727,5.863680334629434,6.295065999668914,6.198094576719576,median,C/D
728.0,14,6.180841425390838,6.2210211212881035,0.3626142575652029,5.879038873348149,6.28813116474804,6.2210211212881035,median,C/D
729.0,14,6.179047755088163,6.234768336758966,0.3627446178902884,5.8735630595801105,6.30804293226101,6.234768336758966,median,C/D
730.0,14,6.214117182327827,6.2621088840323,0.3808893350866365,5.884658550536681,6.465210709115553,6.2621088840323,median,C/D
731.0,14,6.202356682842575,6.271897874593433,0.3630017423340895,5.879951691221459,6.35336978625822,6.271897874593433,median,C/D
732.0,13,6.167139167021623,6.208329470659127,0.3601859657442613,5.903999363803299,6.258343100866055,6.208329470659127,median,C/D
733.0,14,6.22112032349118,6.239280634101698,0.37623401411495816,5.925151470518499,6.324387372412386,6.239280634101698,median,C/D
734.0,14,6.2163016317830255,6.240899706573294,0.35236435030670454,5.936629661241209,6.349715176058022,6.240899706573294,median,C/D
735.0,14,6.2269881028960965,6.228212144051305,0.3582419390221752,5.9635796626465245,6.3782186339029385,6.228212144051305,median,C/D
736.0,14,6.227114647270275,6.274749778123159,0.3551977572550144,5.9370709614445065,6.367098439821518,6.274749778123159,median,C/D
737.0,14,6.238904123450856,6.292608173076923,0.3594343530776901,5.961861966948094,6.374348566045664,6.292608173076923,median,C/D
738.0,13,6.262819157690853,6.310069272052391,0.37215491318169364,5.967945903222973,6.375697566753698,6.310069272052391,median,C/D
739.0,14,6.271117510450431,6.3002041649431,0.3505589297483346,6.03678309836584,6.357266139628854,6.3002041649431,median,C/D
740.0,14,6.65632650308431,6.558885479854544,0.5206548106901177,6.268030695479993,6.913649564402057,6.558885479854544,median,C/D
741.0,14,6.489303313513707,6.425522343538461,0.47466140195555445,6.117706467318244,6.719633772382445,6.425522343538461,median,C/D
742.0,14,6.319200021273827,6.307994556771671,0.40795529835184463,5.967518597641583,6.482194610148396,6.307994556771671,median,C/D
743.0,14,6.312066840336301,6.314591137592222,0.4447679382493018,5.980610863090876,6.391579431164641,6.314591137592222,median,C/D
744.0,14,6.30510278180179,6.311184355883048,0.4437367733477041,5.958533271204044,6.39596531497164,6.311184355883048,median,C/D
745.0,14,6.324044346559195,6.362113172025909,0.39778822017500853,5.98689485534682,6.405281607225696,6.362113172025909,median,C/D
746.0,14,6.310003698804415,6.302356328479737,0.3962644164157717,6.024746700430328,6.394892167040621,6.302356328479737,median,C/D
747.0,14,6.305208575898725,6.2931961878862985,0.40631839823045834,6.007544252745609,6.399465309930514,6.2931961878862985,median,C/D
748.0,14,6.310553299075175,6.327628597913525,0.4009665938919011,5.981900317405888,6.429485340822151,6.327628597913525,median,C/D
749.0,14,6.313598729270003,6.321719857696911,0.40833421942604553,6.020661177411595,6.426895445678208,6.321719857696911,median,C/D
750.0,14,6.316658152301265,6.30713384571774,0.40979521927099843,6.014323993385532,6.470063314207802,6.30713384571774,median,C/D
751.0,14,6.3160358932406595,6.329722407526684,0.4175983672430401,5.989627240464763,6.457491184062782,6.329722407526684,median,C/D
752.0,14,6.328329820081183,6.345085161782183,0.417618982235168,6.012349986455209,6.475238132855839,6.345085161782183,median,C/D
753.0,14,6.341436200460872,6.357206535508158,0.42448941996377904,6.008010959744505,6.499184641851197,6.357206535508158,median,C/D
754.0,14,6.376111840822034,6.396997231057968,0.44047547878469595,6.041553879861404,6.677150435359371,6.396997231057968,median,C/D
755.0,14,6.372337450601781,6.406452195635312,0.4296449449664242,6.032413399500843,6.580255463445788,6.406452195635312,median,C/D
756.0,14,6.363644645912708,6.412486947791164,0.4210836414223243,6.05164404418519,6.492870169762718,6.412486947791164,median,C/D
757.0,14,6.381555382939361,6.414799684780611,0.41812746905673376,6.054613978609754,6.508800186972481,6.414799684780611,median,C/D
758.0,14,6.37945798177896,6.423856465459748,0.4188152413291194,6.0565423078668,6.5326810894977205,6.423856465459748,median,C/D
759.0,14,6.375966573549009,6.412755383590712,0.41968326440237375,6.032702985916008,6.5221255683865875,6.412755383590712,median,C/D
760.0,14,6.377362871336008,6.409452349439181,0.4186411357029329,6.041513982573458,6.521842961445653,6.409452349439181,median,C/D
761.0,14,6.391711022223274,6.436697497085399,0.41717153248175604,6.060395548912202,6.528593840446144,6.436697497085399,median,C/D
762.0,14,6.400414393938383,6.417965811252828,0.41648739337023927,6.082799517927201,6.503778547430949,6.417965811252828,median,C/D
763.0,14,6.424071033785296,6.433742948717949,0.4166020314996401,6.100436510716544,6.535384208287265,6.433742948717949,median,C/D
764.0,13,6.827016208046851,6.739900933614655,0.5818889159882489,6.404713655377038,7.026939834661476,6.739900933614655,median,C/D
765.0,13,6.679562832324994,6.733280222742597,0.5488934882697728,6.244245657310132,6.936670956670956,6.733280222742597,median,C/D
766.0,14,6.669394973303276,6.543051163003499,0.8271994525247065,6.111553600346266,6.750221012730482,6.543051163003499,median,C/D
767.0,14,6.479821355990279,6.481058310533515,0.46856207119243526,6.087185392386125,6.557150962167497,6.481058310533515,median,C/D
768.0,14,6.4561835439500745,6.436173705501618,0.46302481863075096,6.079758806164452,6.558329178173459,6.436173705501618,median,C/D
769.0,14,6.459455333994669,6.452028950133148,0.4277752533474771,6.1400767835282375,6.523763382284871,6.452028950133148,median,C/D
770.0,14,6.439352497547055,6.4257225252486325,0.42016628350070095,6.135066334281133,6.516796275418849,6.4257225252486325,median,C/D
771.0,14,6.417200196677798,6.4032884631486,0.43250007917309524,6.096698206103992,6.529328761608535,6.4032884631486,median,C/D
772.0,14,6.4204217399755015,6.410735476043104,0.4404163596737309,6.073568251954079,6.541708523199975,6.410735476043104,median,C/D
773.0,14,6.424233457249218,6.438901782282511,0.4307024411700668,6.086574102982833,6.557005718954249,6.438901782282511,median,C/D
774.0,13,6.352537705207096,6.418743615106455,0.3510576340441111,6.048917046188995,6.541509900990099,6.418743615106455,median,C/D
775.0,14,6.356393828844112,6.376143673048251,0.3304841383350838,6.063892826764281,6.523017636845413,6.376143673048251,median,C/D
776.0,14,6.446821568026416,6.429792105746914,0.4231937257436198,6.12168103340078,6.589428952870213,6.429792105746914,median,C/D
777.0,14,6.440457905921853,6.440996581230634,0.42482984075018737,6.116480935161055,6.565722825164311,6.440996581230634,median,C/D
778.0,14,6.4862202414341334,6.458108496032956,0.4457561107464152,6.116375049459524,6.7622027760155845,6.458108496032956,median,C/D
779.0,13,6.445173903412941,6.475050866369125,0.4343695358711652,6.109914216984129,6.600005231311141,6.475050866369125,median,C/D
780.0,13,6.452901443585047,6.493738452063232,0.4385674862286878,6.105452448518141,6.582811447811448,6.493738452063232,median,C/D
781.0,13,6.461907743324379,6.491302094899696,0.44609967283548035,6.121229834883279,6.599765914331632,6.491302094899696,median,C/D
782.0,13,6.46958916645381,6.522719002249571,0.4539726476850392,6.1247845073096645,6.641303681384614,6.522719002249571,median,C/D
