parameter,coordinate,rhat_rank,rhat_split,rhat_folded,rhat_identity,ess_bulk,ess_tail,effective_samples_per_second,mcse_mean,mcse_sd,posterior_mean,posterior_sd,hdi_lower,hdi_upper,is_free_parameter,is_derived_parameter,diagnostic_priority
beta_pre,7,1.0000008401755491,0.9997066825772696,1.0000008401755491,0.999878315667382,9111.524509434157,6746.172277292155,21.308248435081094,0.00025075960031185695,,0.165,0.024,0.119,0.211,True,False,other
delta_beta,8,0.9999838545038748,0.9996831877695983,0.9999838545038748,0.9998241903261703,8392.62543404494,6141.577885900045,19.6270281209303,0.0002767409790350337,,1.018,0.025,0.971,1.069,True,False,other
delta_beta,10,0.9999603385465272,0.9998238828574926,0.9999603385465272,1.000042417095133,8747.079837060555,6425.356640770692,20.455956635642067,0.00030805409316693753,,1.17,0.029,1.118,1.229,True,False,other
level,7,0.9999600996959238,0.9996094025541339,0.9999600996959238,0.999757843303798,15414.24575507231,5976.660420181222,36.04781808449225,2.3997511233053033e-05,,-0.039,0.003,-0.045,-0.033,True,False,other
delta_beta,13,0.9999531689243039,0.9999460791167222,0.9999029555788849,1.0001221870115466,8236.094567893764,6223.6886897183595,19.260964397976565,0.0002843342093283975,,1.002,0.026,0.95,1.051,True,False,other
delta_beta,6,0.9999234767513647,0.9997769108242699,0.9999234767513647,1.0000375858451291,7724.858232100864,6064.700308127778,18.06538501487373,0.0004487029249446982,,1.783,0.04,1.71,1.862,True,False,other
delta_beta,3,0.9999205396609959,0.999872268374917,0.9999205396609959,1.0000043937762602,8682.80439609264,5489.38547588473,20.305641826852316,0.000355866590001546,,1.145,0.033,1.082,1.21,True,False,other
tau,9,0.9999105337344382,0.9999109212480796,0.9996925283212358,0.9999230514551992,14155.849793958223,6467.667297704402,33.104928149733475,0.00030988133740055506,,0.159,0.037,0.085,0.23,True,False,smoke_key
beta_pre,2,0.999903686153119,0.99978233793865,0.999903686153119,0.9999617435019396,10334.187195184018,5834.895651159866,24.167572386115438,0.00016485058083625574,,0.223,0.017,0.189,0.255,True,False,other
beta_post,13,0.9998941587163458,0.9996573595304294,0.9998941587163458,0.9997964755946581,10854.939746372149,5972.437254745116,25.385406429411894,0.00012296708880384918,,1.232,0.013,1.206,1.257,False,True,other
beta_post,7,0.9998810180774053,0.9998804518855404,0.9996872506083108,1.0000539989388166,9088.844015222798,6243.784004133337,21.255207738676702,0.00023986041753887996,,1.952,0.023,1.907,1.997,False,True,other
beta_pre,6,0.9998801863446602,0.9997041039942962,0.9998801863446602,0.9999564332569524,9702.106842523921,6135.981547859566,22.68938669156239,0.00030894203460291644,,0.08,0.031,0.022,0.139,True,False,other
beta_post,8,0.9998773585324068,0.999828486844481,0.9998773585324068,0.9999156388718169,11440.115866443035,5794.894112835243,26.7539016940448,0.00011707550258762714,,1.144,0.012,1.12,1.168,False,True,other
beta_pre,9,0.9998705775605032,0.999711704728097,0.9998705775605032,0.999878311701821,10668.610434316655,6383.267584930239,24.94965593915033,0.00015411586905037918,,0.306,0.016,0.274,0.336,True,False,other
delta_beta,7,0.9998666390882999,0.9998476856237463,0.9998666390882999,1.0000437530678257,7451.284276666285,5965.461058202737,17.425603845242676,0.0004370364169017597,,1.786,0.038,1.715,1.862,True,False,other
log_transition_width,,0.9998507507430489,0.9998230437538885,0.9998507507430489,1.0000234488566355,7179.300624964765,5475.3298057056145,16.789541766417575,0.0003953665663553338,,-0.587,0.034,-0.653,-0.523,True,False,other
transition_width,,0.999839737308044,0.999818502485971,0.999839737308044,1.0000212720396293,7179.300624964765,5475.3298057056145,16.789541766417575,0.00022022679783802735,,0.572,0.019,0.536,0.608,False,True,smoke_key
delta_beta,1,0.9998246142902709,0.9998314562737189,0.9996982773020084,1.000100602543357,7831.400678126525,5430.726434368537,18.314545614337124,0.00027816449535937837,,1.108,0.025,1.059,1.155,True,False,other
level,9,0.9997447122281496,0.999748118648263,0.999708316883719,0.9998728880711546,15161.055686346002,6481.927823170968,35.45570675557804,2.110917959509608e-05,,-0.197,0.003,-0.202,-0.192,True,False,other
nu,,,,,,8000.0,8000.0,18.708832677138354,0.0,,4.0,0.0,4.0,4.0,False,True,other
