Battery_ID,bin,cycle_normalized_midpoint,n_observations,residual_mean,residual_median,absolute_residual_mad
10,2,0.1853526220614828,134,0.020292492348737496,0.017643364960511665,0.009528801349070193
10,3,0.31217283715618155,133,-0.020469009914168914,-0.021578511422201352,0.013098976745554047
10,4,0.4459866130468813,134,-0.0036676243898039174,-0.013497566552917117,0.018703604835158316
10,5,0.5689064433234985,133,0.03852802785940171,0.010334828874915658,0.03279808270076234
10,6,0.6915265444927262,134,0.09298405170199756,0.03442751057398441,0.03104051576905764
10,7,0.8160138139199717,133,0.009303999801430433,-0.06184522025705075,0.041879482060935835
10,8,0.9396440042104127,134,0.12816401949309822,0.03112752573972788,0.03802273568917647
11,1,0.06253767329716697,132,-0.11760808015660555,0.03887890249017101,0.02203916988197907
11,2,0.18398618608002826,133,-0.02103604477897248,-0.024510980915303016,0.013188915684394509
11,3,0.3101197840895185,133,-0.07236055930692205,-0.08009433142606426,0.017882177841761937
11,4,0.44367020625705306,133,-0.004282050834585294,0.00705177335060192,0.023540674784735316
11,5,0.5664862880528627,133,0.199425820077567,0.16784417534443108,0.05685591785970345
11,6,0.6898326285877443,133,0.02353167031066153,0.001959120290095484,0.020692142580429618
11,7,0.8152728113230636,133,0.008303712044415717,-0.04058231928689082,0.028341368415394363
11,8,0.9394349345334403,133,0.09544334694352906,0.009688387612303728,0.020134437960257934
12,1,0.06327743985971836,132,-0.15579689523112772,0.0004273623685633332,0.008419395499197346
12,2,0.18579450434404274,133,0.0008266283694559972,-2.5609514445967818e-05,0.007981250580001209
12,3,0.3124787556594923,133,-0.025696427486198322,-0.020417670420732392,0.014293718384163157
12,4,0.4473480264857441,133,0.0026761153052418684,0.002755354559419665,0.012528139939696814
12,5,0.5697435475916489,132,0.08886525327591017,0.054076097008002755,0.03146158959900269
12,6,0.692633482440278,133,0.01632499621627387,-0.023116769436774653,0.020185097629864757
12,7,0.8168839821071666,133,0.003445885144176156,-0.038450444231517444,0.0319193065472545
12,8,0.9401011570517614,133,0.09729301797483328,0.031008085986833578,0.02587140438231028
13,1,0.061940523916744455,131,-0.18416953148670676,-0.0047028403439250965,0.005988591495508011
13,2,0.18331698277741443,132,0.016831713502476312,0.013657822829327149,0.00697124558399187
13,3,0.3073823384040858,131,-0.019720349881709613,-0.025817679134982008,0.011073465226438373
13,4,0.43839928057553956,132,-0.001786341770683375,-0.006766202174455671,0.018754171718991408
13,5,0.5594070198386746,132,0.06549195639459408,0.036687767348777545,0.020609934120455975
13,6,0.6826088747322752,131,0.026175872617219462,-0.021535917949147,0.021288122105205254
13,7,0.8079218443427075,132,0.020267028433818876,-0.0038362460812466637,0.033563873711776715
13,8,0.9387262916939176,132,0.10979401989880708,0.021697887631463075,0.03404875236921123
14,1,0.06195101351351351,128,-0.1795280513569261,-0.000650067642002039,0.009708146616626667
14,2,0.18011683558558558,128,0.021101600317479326,0.021182558986248434,0.009536317077827317
14,3,0.30121058558558556,128,0.020323891200223154,-0.040073081184397896,0.019309452972857244
