model_id,scenario_id,battery_id,tau_shift_cycles,tau_shift_fraction_of_full_range,tau_hdi_width_ratio,delta_beta_shift,delta_beta_hdi_width_ratio,probability_positive_change,boundary_status_changed,tau_distance_to_observed_end,boundary_status,boundary_status_r0
H1_hierarchical_h5_1,R4_truncate_75,8,145.39321772545543,0.130866982651175,0.5953229728339237,0.0003976528353266005,1.493605747357229,1.0,False,229.9605311474752,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,9,-135.07500243954973,-0.12157966016161093,0.5643565639710687,-0.0023189102322913,0.42196773629378825,1.0,False,357.2891268178713,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,10,6.826033774539553,0.006144044801565754,0.5113684466326375,-0.0014748828830100005,0.4262689817079777,1.0,False,380.5496996377025,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,11,-608.5618794075074,-0.547760467513508,0.3345129218184872,-0.0050260142053927,0.11042898904189734,1.0,True,509.7317808375972,identified,boundary_sensitive
H1_hierarchical_h5_1,R4_truncate_75,12,-120.73181365352946,-0.10866949923810032,0.46787798753306126,-0.0011624115493075998,0.5362380971617481,1.0,False,448.5512194024489,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,13,-28.670429531458467,-0.025805967175030125,0.4766104811984767,-0.0015057250105573994,0.3982004568648253,1.0,False,427.70536641313424,identified,identified
H1_hierarchical_h5_1,R4_truncate_75,14,45.10115581745839,0.04059509974568712,0.41409951304699366,-0.0016820379683283996,0.3541631192245582,1.0,False,436.1138257362898,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,1,12.133862550060599,0.010921568451899729,0.5003143827579175,-0.0011237900879701,0.5617957412562353,1.0,False,320.74285028070744,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,2,52.88319098459965,0.04759963184932462,0.5578574622945678,-0.00035613170658509944,0.9265924409184331,1.0,False,252.9849348293567,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,3,-169.6240296663608,-0.15267689438916363,0.7499355891926537,-0.0023969759921589,0.4018200312655903,1.0,False,347.2471963859425,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,4,-197.8258880300491,-0.17806110533757794,0.7170417427197489,-0.0027702789124164,0.33159461988587163,1.0,False,389.4803871058789,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,5,9.13985253933447,0.008226689954396462,0.4824115372423431,-0.001431277840763,0.5217002288493484,1.0,False,339.40847080592744,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,6,29.489557138122905,0.026543255749885603,0.4735290975300339,-0.0022953545727501003,0.3710782975713468,1.0,False,402.0299734678712,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,7,-65.84759592956135,-0.059268763212926505,0.49448277037426225,-0.0028475115234346,0.3043993155589891,1.0,False,437.5388474694667,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,8,91.49003574974267,0.08234926710147855,0.4912074834946672,-0.0007347614640368996,0.6313120326555088,1.0,False,338.86371312318795,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,9,-143.98067295577124,-0.12959556521671578,0.4508328878861113,-0.0025055578338080997,0.29931924767734736,1.0,False,421.1947973340928,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,10,-6.716849562638288,-0.006045769183292788,0.41839736304289665,-0.0017098315358563005,0.3205461472762265,1.0,False,449.0925829748803,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,11,-597.5508683383829,-0.5378495664611908,0.29282907289774407,-0.005098064106954601,0.10155420709143284,1.0,True,551.7207697684727,identified,boundary_sensitive
H1_hierarchical_h5_1,R4_truncate_80,12,-105.30590114846376,-0.09478478951256865,0.37718323432260137,-0.0011852698997101997,0.45374733903915176,1.0,False,487.1253068973832,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,13,-12.191965774068876,-0.010973866583320321,0.4330185538027272,-0.0014868268544894997,0.34995941277336096,1.0,False,466.22690265574465,identified,identified
H1_hierarchical_h5_1,R4_truncate_80,14,36.530465534639745,0.03288070705188096,0.338799573951049,-0.0018954793848123,0.2734500484165548,1.0,False,500.68451601910846,identified,identified
H1_hierarchical_h5_1,R4_truncate_90,1,-28.390892734660497,-0.025554358897084156,0.47755419592836584,-0.0016920581066862997,0.33705506542099845,1.0,False,472.26760556542854,identified,identified
H1_hierarchical_h5_1,R4_truncate_90,2,-7.472245192627497,-0.006725693242689016,0.44818402374447114,-0.0017563537592611995,0.39429038343836115,1.0,False,424.34037100658384,identified,identified
