model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_60,5,0.6,537.4516766547381,518.9580638261215,555.4194946210371,680.0,142.5483233452619,0.1259260806936942,False,False,False,short_post_transition,-86.00350033009852,86.00350033009852,0.0759748236131612,0.9972892025413708,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,6,0.6,447.4804693940059,431.20792129133054,464.1869344014371,661.0,213.51953060599408,0.1939323620399582,False,False,False,moderate_post_transition,-53.970486881098054,53.970486881098054,0.0490195157866467,0.696130383334272,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,7,0.6,512.3087484600946,496.785545307232,527.5185842943359,664.0,151.69125153990535,0.1371530303254117,False,False,False,short_post_transition,-155.521005597096,155.521005597096,0.1406157374295624,0.5055881062399697,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,8,0.6,452.6462511270694,427.150007536051,477.06784513550974,662.0,209.35374887293065,0.1898039427678428,False,False,False,moderate_post_transition,-51.653433467624325,51.653433467624325,0.0468299487467128,0.6067036757711189,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,9,0.6,607.7858756216784,584.261676797539,630.8485534161284,664.0,56.21412437832157,0.0508265139044498,False,False,False,short_post_transition,-235.6712241116586,235.6712241116586,0.2130842894318793,0.4606613432815414,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,10,0.6,442.624266587758,420.47965173088585,464.90104889940767,664.0,221.37573341224203,0.2001588909694774,False,False,False,moderate_post_transition,-18.617931862276063,18.617931862276063,0.0168335731123653,0.5028524077532172,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,11,0.6,928.8300985699102,880.3488067382998,974.8137717199372,664.0,-264.8300985699102,-0.23944855205236,True,True,False,pre_transition,-502.894343893407,502.894343893407,0.4546965134660099,0.1943311483059573,1.0,extrapolation,identified,boundary_sensitive,True,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,12,0.6,502.18059425108055,462.3267053307612,541.3941269610359,664.0,161.81940574891945,0.1463104934438693,False,False,False,short_post_transition,-74.55893573754827,74.55893573754827,0.0674131426198447,0.3279810374026699,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,13,0.6,435.9650631183242,410.67108980656496,463.0170693088105,668.0,232.03493688167575,0.2086645115842408,False,False,False,moderate_post_transition,-8.042282687570491,8.042282687570491,0.0072322686039302,0.4039757126416227,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_60,14,0.6,351.7850184462518,324.7975674246435,376.2823776163491,667.0,315.2149815537482,0.2839774608592326,False,False,False,moderate_post_transition,71.33550337623802,71.33550337623802,0.0642662192578721,0.3275075158126595,1.0,extrapolation,identified,identified,False,0.7440004693660339,-0.7203044353074971,-0.35694164989939636
